ID,Segment Type,Segment Description,Answer,Count,Percentage,It became a Relationship,Value
292881,Mobile,Mobile respondents,Yes,797,20.70%,Yes,20.7
292883,Mobile,Mobile respondents,No,1969,51.10%,No,51.1
292885,Mobile,Mobile respondents,I don't use Tinder,1090,28.30%,Yes,28.3
292887,Web,Web-based respondents,Yes,0,0.00%,No,0
292889,Web,Web-based respondents,No,0,0.00%,No,0
292891,Web,Web-based respondents,I don't use Tinder,0,0.00%,No,0
292893,Gender,Male respondents,Yes,472,21.30%,Yes,21.3
292895,Gender,Male respondents,No,1172,52.80%,No,52.8
292897,Gender,Male respondents,I don't use Tinder,574,25.90%,No,25.9
292899,Gender,Female respondents,Yes,325,19.80%,No,19.8
292901,Gender,Female respondents,No,797,48.70%,Yes,48.7
292903,Gender,Female respondents,I don't use Tinder,516,31.50%,No,31.5
292905,University,Chapman University,Yes,13,20.60%,No,20.6
292907,University,Chapman University,No,31,49.20%,No,49.2
292909,University,Chapman University,I don't use Tinder,19,30.20%,Yes,30.2
292911,University,Cornell University,Yes,47,24.40%,No,24.4
292913,University,Cornell University,No,95,49.20%,Yes,49.2
292915,University,Cornell University,I don't use Tinder,51,26.40%,No,26.4
292917,University,Duke University,Yes,0,0.00%,No,0
292919,University,Duke University,No,2,66.70%,No,66.7
292921,University,Duke University,I don't use Tinder,1,33.30%,Yes,33.3
292923,University,George Washington University,Yes,1,25.00%,No,25
292925,University,George Washington University,No,3,75.00%,No,75
292927,University,George Washington University,I don't use Tinder,0,0.00%,No,0
292929,University,Georgetown University,Yes,2,50.00%,Yes,50
292931,University,Georgetown University,No,1,25.00%,No,25
292933,University,Georgetown University,I don't use Tinder,1,25.00%,No,25
292935,University,Harvard University,Yes,1,33.30%,No,33.3
292937,University,Harvard University,No,2,66.70%,Yes,66.7
292939,University,Harvard University,I don't use Tinder,0,0.00%,No,0
292941,University,Indiana University,Yes,9,20.50%,Yes,20.5
292943,University,Indiana University,No,30,68.20%,No,68.2
292945,University,Indiana University,I don't use Tinder,5,11.40%,No,11.4
292947,University,Johns Hopkins University,Yes,33,23.90%,No,23.9
292949,University,Johns Hopkins University,No,76,55.10%,Yes,55.1
292951,University,Johns Hopkins University,I don't use Tinder,29,21.00%,No,21
292953,University,Northwestern University,Yes,31,25.80%,No,25.8
292955,University,Northwestern University,No,65,54.20%,No,54.2
292957,University,Northwestern University,I don't use Tinder,24,20.00%,Yes,20
292959,University,Ohio State University,Yes,6,31.60%,No,31.6
292961,University,Ohio State University,No,12,63.20%,No,63.2
292963,University,Ohio State University,I don't use Tinder,1,5.30%,No,5.3
292965,University,Princeton University,Yes,1,50.00%,Yes,50
292967,University,Princeton University,No,1,50.00%,No,50
292969,University,Princeton University,I don't use Tinder,0,0.00%,Yes,0
292971,University,San Diego State University,Yes,5,19.20%,No,19.2
292973,University,San Diego State University,No,15,57.70%,No,57.7
292975,University,San Diego State University,I don't use Tinder,6,23.10%,No,23.1
292977,University,Santa Clara University,Yes,0,0.00%,Yes,0
292979,University,Santa Clara University,No,4,80.00%,No,80
292981,University,Santa Clara University,I don't use Tinder,1,20.00%,No,20
292983,University,Southern Methodist University,Yes,3,33.30%,No,33.3
292985,University,Southern Methodist University,No,4,44.40%,Yes,44.4
292987,University,Southern Methodist University,I don't use Tinder,2,22.20%,No,22.2
292989,University,Stanford University,Yes,13,12.00%,No,12
292991,University,Stanford University,No,58,53.70%,No,53.7
292993,University,Stanford University,I don't use Tinder,37,34.30%,Yes,34.3
292995,University,Tulane University,Yes,3,42.90%,No,42.9
292997,University,Tulane University,No,3,42.90%,Yes,42.9
292999,University,Tulane University,I don't use Tinder,1,14.30%,No,14.3
293001,University,University of Pennsylvania,Yes,24,22.20%,No,22.2
293003,University,University of Pennsylvania,No,60,55.60%,No,55.6
293005,University,University of Pennsylvania,I don't use Tinder,24,22.20%,Yes,22.2
293007,University,University of Wisconsin-Madison,Yes,34,27.00%,No,27
293009,University,University of Wisconsin-Madison,No,71,56.30%,No,56.3
293011,University,University of Wisconsin-Madison,I don't use Tinder,21,16.70%,No,16.7
293013,University,University of Alabama,Yes,2,13.30%,Yes,13.3
293015,University,University of Alabama,No,11,73.30%,No,73.3
293017,University,University of Alabama,I don't use Tinder,2,13.30%,No,13.3
293019,University,"University of California, Berkeley",Yes,25,27.50%,No,27.5
293021,University,"University of California, Berkeley",No,47,51.60%,Yes,51.6
293023,University,"University of California, Berkeley",I don't use Tinder,19,20.90%,No,20.9
293025,University,"University of California, Davis",Yes,3,17.60%,Yes,17.6
293027,University,"University of California, Davis",No,8,47.10%,No,47.1
293029,University,"University of California, Davis",I don't use Tinder,6,35.30%,No,35.3
293031,University,"University of California, Los Angeles",Yes,1,7.70%,No,7.7
293033,University,"University of California, Los Angeles",No,7,53.80%,Yes,53.8
293035,University,"University of California, Los Angeles",I don't use Tinder,5,38.50%,No,38.5
293037,University,"University of California, Santa Barbara",Yes,24,32.00%,No,32
293039,University,"University of California, Santa Barbara",No,34,45.30%,No,45.3
293041,University,"University of California, Santa Barbara",I don't use Tinder,17,22.70%,Yes,22.7
293043,University,University of Colorado Boulder,Yes,3,50.00%,No,50
293045,University,University of Colorado Boulder,No,3,50.00%,No,50
293047,University,University of Colorado Boulder,I don't use Tinder,0,0.00%,No,0
293049,University,University of Miami,Yes,0,0.00%,Yes,0
293051,University,University of Miami,No,0,0.00%,No,0
293053,University,University of Miami,I don't use Tinder,1,100.00%,Yes,100
293055,University,University of Michigan,Yes,14,16.30%,No,16.3
293057,University,University of Michigan,No,49,57.00%,No,57
293059,University,University of Michigan,I don't use Tinder,23,26.70%,No,26.7
293061,University,University of Oregon,Yes,1,20.00%,Yes,20
293063,University,University of Oregon,No,4,80.00%,No,80
293065,University,University of Oregon,I don't use Tinder,0,0.00%,No,0
293067,University,University of Southern California,Yes,1,10.00%,No,10
293069,University,University of Southern California,No,7,70.00%,Yes,70
293071,University,University of Southern California,I don't use Tinder,2,20.00%,No,20
293073,University,University of Virginia,Yes,3,16.70%,No,16.7
293075,University,University of Virginia,No,7,38.90%,No,38.9
293077,University,University of Virginia,I don't use Tinder,8,44.40%,Yes,44.4
293079,University,Vanderbilt University,Yes,23,23.50%,No,23.5
293081,University,Vanderbilt University,No,63,64.30%,Yes,64.3
293083,University,Vanderbilt University,I don't use Tinder,12,12.20%,No,12.2
293085,University,Wesleyan University,Yes,0,0.00%,No,0
293087,University,Wesleyan University,No,2,100.00%,No,100
293089,University,Wesleyan University,I don't use Tinder,0,0.00%,Yes,0
293091,University,University of Texas,Yes,12,16.40%,No,16.4
293093,University,University of Texas,No,35,47.90%,No,47.9
293095,University,University of Texas,I don't use Tinder,26,35.60%,No,35.6
293097,University,"University of California, San Diego",Yes,1,100.00%,Yes,100
293099,University,"University of California, San Diego",No,0,0.00%,No,0
293101,University,"University of California, San Diego",I don't use Tinder,0,0.00%,No,0
293103,University,Miami University (Ohio),Yes,0,0.00%,No,0
293105,University,Miami University (Ohio),No,1,50.00%,Yes,50
293107,University,Miami University (Ohio),I don't use Tinder,1,50.00%,No,50
293109,University,University of Maine,Yes,0,0.00%,Yes,0
293111,University,University of Maine,No,3,75.00%,No,75
293113,University,University of Maine,I don't use Tinder,1,25.00%,No,25
293115,University,Texas Tech University,Yes,3,23.10%,No,23.1
293117,University,Texas Tech University,No,5,38.50%,Yes,38.5
293119,University,Texas Tech University,I don't use Tinder,5,38.50%,No,38.5
293121,University,University of North Carolina,Yes,1,8.30%,No,8.3
293123,University,University of North Carolina,No,8,66.70%,No,66.7
293125,University,University of North Carolina,I don't use Tinder,3,25.00%,Yes,25
293127,University,University of Arkansas,Yes,12,18.20%,No,18.2
293129,University,University of Arkansas,No,35,53.00%,No,53
293131,University,University of Arkansas,I don't use Tinder,19,28.80%,No,28.8
293133,University,University of Mississippi,Yes,2,66.70%,Yes,66.7
293135,University,University of Mississippi,No,1,33.30%,No,33.3
293137,University,University of Mississippi,I don't use Tinder,0,0.00%,Yes,0
293139,University,Baylor University,Yes,2,28.60%,No,28.6
293141,University,Baylor University,No,2,28.60%,No,28.6
293143,University,Baylor University,I don't use Tinder,3,42.90%,No,42.9
293145,University,Texas A&M University,Yes,13,24.10%,Yes,24.1
293147,University,Texas A&M University,No,29,53.70%,No,53.7
293149,University,Texas A&M University,I don't use Tinder,12,22.20%,No,22.2
293151,University,University of Oklahoma,Yes,0,0.00%,No,0
293153,University,University of Oklahoma,No,4,80.00%,Yes,80
293155,University,University of Oklahoma,I don't use Tinder,1,20.00%,No,20
293157,University,Yale University,Yes,1,100.00%,No,100
293159,University,Yale University,No,0,0.00%,No,0
293161,University,Yale University,I don't use Tinder,0,0.00%,Yes,0
293163,University,Cal Poly San Luis Obispo,Yes,8,32.00%,No,32
293165,University,Cal Poly San Luis Obispo,No,10,40.00%,Yes,40
293167,University,Cal Poly San Luis Obispo,I don't use Tinder,7,28.00%,No,28
293169,University,Carnegie Mellon University,Yes,1,25.00%,No,25
293171,University,Carnegie Mellon University,No,3,75.00%,No,75
293173,University,Carnegie Mellon University,I don't use Tinder,0,0.00%,Yes,0
293175,University,Clemson University,Yes,2,50.00%,No,50
293177,University,Clemson University,No,0,0.00%,No,0
