Country,year2017,year2018,year2019,year2020,year2021,year2022,year2023,year2024,year2025,year2026,year2027
Albania,2.9,3.5,4,4.7,5.1,5 ,5.6,5.8,6.1,6.3,6.5
Algeria,1.4,2,2.5,3.2,3.6,4 ,4.3,4.4,4.5,4.7,4.8
Angola,3,3.7,4.4,5.2,5.6,6 ,5.9,6,6.1,6.2,6.3
Argentina,8.5,9.2,9.8,10.3,10.8,11 ,11.2,11.3,11.5,11.6,11.8
Armenia,2.9,3.6,4.3,5.2,5.9,6 ,6.8,7.2,7.7,8.1,8.4
Australia,14.5,15,14.9,15.2,15.3,15 ,15.2,15.3,15.3,15.2,15.1
Austria,7.2,8.4,9.4,10.6,11.4,12 ,12.3,12.7,13.1,13.4,13.8
Azerbaijan,1.5,2.1,2.6,3.3,3.8,4 ,4.5,4.8,5.1,5.4,5.7
Bahrain,2.1,2.6,3.1,3.6,4,4 ,4.4,4.6,4.8,4.9,5.1
Bangladesh,0.7,1.3,2,2.9,3.6,4 ,4.9,5.5,6,6.7,7.3
Belarus,2.3,3,3.6,4.4,4.7,4 ,4,4.1,4.3,4.5,4.6
Belgium,6.3,8.8,11.1,13.3,14.9,16 ,17.5,18.7,19.9,21.1,22.3
Belize,2.3,3,3.7,4.5,5,5 ,5.7,5.9,6.1,6.3,6.4
Benin,1.2,1.6,2.1,2.7,3.2,4 ,3.8,4.1,4.4,4.6,4.9
Bhutan,2.3,2.9,3.6,4.4,5,5 ,5.8,6.2,6.6,6.9,7.3
Bolivia,2.4,3.1,3.7,4.6,5.2,6 ,6,6.3,6.6,7,7.3
Bosnia and Herzegovina,2.5,3.3,4,4.9,5.5,6 ,6.4,6.8,7.2,7.6,8
Botswana,1.9,2.5,3.2,4,4.7,5 ,5.6,5.9,6.3,6.7,7
Brazil,5.8,6.6,7.5,8.5,9.3,10 ,10,10.2,10.3,10.5,10.6
Brunei Darussalam,3.8,4.6,5,5.7,6,6 ,6.2,6.3,6.4,6.5,6.5
