Country,year2022
Afghanistan,5
Albania,4
Algeria,6
Andorra,11
Angola,6
Antigua and Barbuda,15
Argentina,12
Armenia,4
Australia,4
Austria,4
Azerbaijan,4
Bahamas,16
Bahrain,5
Bangladesh,4
Barbados,5
Belarus,6
Belgium,6
Belize,5
Benin,10
Bhutan,6
Bolivia,4
Bosnia and Herzegovina,3
Botswana,3
Brazil,4
Brunei,4
Bulgaria,10
Burkina Faso,3
Burma,6
Burundi,9
Cabo Verde,8
Cambodia,6
Cameroon,6
Canada,6
Central African Republic,7
Chad,11
Chile,13
China,5
Colombia,5
Comoros,6
Congo (Kinshasa),5
Costa Rica,4
Cote d'Ivoire,6
Croatia,3
Cuba,7
Cyprus,14
Czechia,12
Denmark,5
Djibouti,3
Dominica,5
Dominican Republic,12
Ecuador,4
Egypt,7
El Salvador,6
Equatorial Guinea,3
Eritrea,5
Estonia,3
Eswatini,5
Ethiopia,5
Fiji,8
Finland,5
France,4
Gabon,5
Gambia,3
Georgia,10
Germany,6
Ghana,8
Greece,4
Grenada,6
Guatemala,9
Guinea,6
Guinea-Bissau,6
Guyana,2
Haiti,6
Holy See,4
Honduras,5
Hungary,5
Iceland,6
India,5
Indonesia,10
Iran,16
Iraq,3
Ireland,3
Israel,5
Italy,5
Jamaica,5
Japan,6
Jordan,6
Kazakhstan,5
Kenya,8
"Korea, South",3
Kosovo,3
Kuwait,5
Kyrgyzstan,6
Laos,3
Latvia,16
Lebanon,8
Lesotho,4
Liberia,2
Libya,1
Liechtenstein,6
Lithuania,14
Luxembourg,4
Madagascar,1
Malawi,6
Malaysia,5
Maldives,5
Mali,3
Malta,4
Mauritania,10
Mauritius,13
Mexico,6
Moldova,3
Monaco,4
Mongolia,8
Montenegro,4
Morocco,5
Mozambique,4
Namibia,13
Nepal,6
Netherlands,4
New Zealand,7
Nicaragua,5
Niger,3
Nigeria,9
North Macedonia,13
Norway,14
Oman,6
Pakistan,3
Panama,4
Papua New Guinea,13
Paraguay,11
Peru,3
Philippines,3
Poland,8
Portugal,4
Qatar,3
Romania,6
Russia,12
Rwanda,4
Saint Kitts and Nevis,4
Saint Lucia,10
Saint Vincent and the Grenadines,5
San Marino,19
Sao Tome and Principe,21
Saudi Arabia,7
Senegal,3
Serbia,4
Seychelles,4
Sierra Leone,4
Singapore,4
Slovakia,3
Slovenia,6
Somalia,12
South Africa,4
South Sudan,4
Spain,10
Sri Lanka,5
Sudan,19
Suriname,21
Sweden,7
Switzerland,3
Syria,4
Taiwan,4
Tajikistan,3
Tanzania,6
Thailand,12
Timor-Leste,4
Togo,4
Trinidad and Tobago,10
Tunisia,5
Turkey,19
Uganda,21
Ukraine,7
United Arab Emirates,3
United Kingdom,4
Uruguay,3
United States of America,6
Uzbekistan,12
Venezuela,4
Vietnam,4
West Bank and Gaza,10
Western Sahara,5
Yemen,19
Zambia,21
Zimbabwe,7
